success,cache_line_sz,cache_queue_size,cache_size,cache_hit_latency,cache_bandwidth,cycle,power,area
TRUE,64,64,65536,4,8,71715,70.6599,1671260
TRUE,32,128,32768,4,8,74225,61.345,1293250
TRUE,64,32,16384,3,14,70038,58.469,1042170
TRUE,32,128,65536,1,13,65691,77.8041,1835320
TRUE,16,64,16384,1,8,75477,58.6829,1116910
TRUE,32,64,32768,4,15,73716,62.3248,1338930
TRUE,16,32,16384,3,4,82322,54.7232,1126790
TRUE,64,128,32768,2,16,66565,65.8581,1294760
TRUE,64,32,65536,3,6,68317,72.475,1671260
TRUE,32,64,32768,2,13,68861,66.2471,1338930
TRUE,16,128,32768,4,6,76645,62.1213,1445490
TRUE,16,32,131072,4,9,76440,129.076,3131260
TRUE,16,32,32768,2,14,74673,63.952,1468150
TRUE,64,128,131072,4,11,72190,122.7,2871060
TRUE,16,128,65536,2,7,74157,74.0823,2056710
TRUE,32,32,65536,4,12,74014,70.2668,1836080
TRUE,64,32,32768,1,13,64056,67.7688,1284880
TRUE,64,128,32768,4,16,72156,61.3151,1294760
TRUE,16,128,32768,4,13,76662,62.1124,1445490
TRUE,32,128,32768,3,13,70498,63.9278,1294390
TRUE,64,32,131072,4,4,72652,122.062,2871060
TRUE,16,128,131072,2,9,73841,134.992,3154290
TRUE,16,128,16384,4,9,84549,53.8758,1149060
TRUE,16,128,131072,4,12,77201,128.151,3131260
TRUE,64,32,65536,1,11,64217,77.5861,1661370
TRUE,32,128,32768,2,15,68489,66.5076,1338930
TRUE,16,64,131072,2,12,74005,134.258,3109760
TRUE,32,32,32768,2,11,68706,65.7963,1294390
TRUE,32,128,131072,2,4,68639,131.108,3101220
TRUE,16,64,65536,3,10,76218,72.2453,2056710
TRUE,32,64,32768,3,13,71685,62.9726,1293630
TRUE,16,32,32768,1,6,70270,67.1426,1458260
TRUE,32,128,32768,2,6,68959,65.7739,1338170
TRUE,64,32,32768,1,16,64391,67.601,1329420
TRUE,64,32,32768,2,11,66800,65.8067,1339300
TRUE,64,128,131072,4,16,71873,120.495,2871060
TRUE,32,32,32768,4,7,74003,62.1398,1338930
TRUE,64,128,32768,3,13,68736,63.718,1294760
TRUE,16,128,32768,1,10,71448,65.7076,1413720
TRUE,64,128,131072,1,9,63850,137.388,2861180
TRUE,32,32,16384,3,9,72767,57.1376,1072450
TRUE,64,32,65536,3,9,68883,72.7784,1671260
TRUE,16,64,16384,3,16,82676,53.9982,1082250
TRUE,32,64,131072,3,5,70523,125.975,3145760
TRUE,32,128,65536,4,5,73752,69.913,1791540
TRUE,16,128,32768,2,9,73891,63.8961,1423610
TRUE,32,64,32768,4,4,73942,61.6228,1294390
TRUE,64,32,65536,2,7,66415,74.9099,1671260
TRUE,32,64,131072,3,14,70421,127.783,3100460
TRUE,16,32,131072,4,14,76500,128.949,3131260
TRUE,64,64,32768,1,7,64212,67.6217,1284880
TRUE,32,128,65536,2,13,68657,75.073,1836080
TRUE,32,128,32768,1,8,65900,67.9048,1284510
TRUE,32,64,65536,3,14,70679,72.3546,1790780
TRUE,64,128,32768,2,8,67845,64.852,1294760
TRUE,32,32,32768,1,13,65864,67.9146,1284510
TRUE,64,32,16384,2,8,68653,60.0524,1042170
TRUE,64,32,131072,4,12,71966,123.063,2871060
TRUE,64,64,131072,1,12,64081,136.956,2861180
TRUE,16,64,16384,2,10,77793,57.2629,1126790
TRUE,16,128,131072,1,6,70849,140.049,3144410
TRUE,32,64,16384,3,13,72966,57.2048,1073220
TRUE,64,128,32768,2,9,66772,65.2717,1294760
TRUE,32,128,32768,1,5,65862,68.3387,1338170
TRUE,16,128,16384,2,10,78425,56.3258,1082250
TRUE,32,128,65536,1,16,66548,76.4327,1790780
TRUE,64,128,65536,1,13,63814,77.167,1661370
TRUE,16,64,65536,4,9,77707,70.2071,1989520
TRUE,64,32,131072,2,11,67474,131.301,2871060
TRUE,16,32,32768,3,16,76054,62.2975,1423610
TRUE,32,128,65536,3,14,71043,72.0388,1790780
TRUE,16,32,131072,2,12,73505,135.627,3154290
TRUE,16,64,65536,1,15,70774,76.9441,2046830
TRUE,32,128,16384,3,4,71963,57.8561,1073220
TRUE,32,64,131072,3,4,70851,127.224,3100460
TRUE,32,64,16384,4,10,77571,54.3169,1072450
TRUE,16,128,16384,2,4,78413,56.8869,1126790
TRUE,64,64,65536,4,9,71831,69.8331,1671260
TRUE,32,64,65536,1,6,65929,76.8294,1781660
TRUE,32,64,16384,1,15,68461,60.8094,1116990
TRUE,32,64,131072,4,9,74294,121.432,3101220
TRUE,16,128,131072,3,9,76208,130.234,3154290
TRUE,32,64,32768,2,6,68819,66.2842,1338930
TRUE,16,64,65536,4,16,77166,70.6187,1989140
TRUE,32,64,32768,1,5,66166,68.0992,1338170
TRUE,64,32,131072,2,5,66742,132.571,2871060
TRUE,16,128,16384,3,5,81887,54.3749,1082250
TRUE,64,32,16384,4,8,73639,56.1407,1042170
TRUE,16,64,16384,1,14,75563,58.6249,1116910
TRUE,16,128,131072,3,6,76041,129.953,3109760
TRUE,32,128,65536,1,9,66070,77.1869,1826200
TRUE,16,64,32768,1,6,70010,67.317,1458260
TRUE,64,32,131072,2,16,66863,132.339,2871060
TRUE,32,32,32768,2,4,68194,66.2046,1294390
TRUE,64,128,65536,1,5,63338,77.6472,1661370
TRUE,32,32,32768,1,16,65888,68.4484,1329050
TRUE,16,128,65536,4,8,76958,71.2673,2034060
TRUE,64,64,131072,4,13,72023,122.932,2871060
TRUE,16,32,65536,4,10,77564,70.8446,2033670
TRUE,64,64,131072,3,16,68724,126.543,2871060
TRUE,16,128,32768,4,14,77315,61.6574,1445110
TRUE,64,128,32768,3,16,69100,63.4492,1294760
TRUE,16,32,16384,3,14,80782,55.2245,1104520
TRUE,64,32,16384,2,13,68856,59.8847,1042170
TRUE,16,64,131072,3,13,76615,129.435,3132020
TRUE,64,64,16384,2,12,68104,60.119,1042170
TRUE,64,128,16384,3,6,70411,58.5175,1042170
